,Major,Primary_AI_Tool,Main_Usage_Case,0
0,Biology,ChatGPT-4o,Brainstorming,7
1,Biology,ChatGPT-4o,Code Debugging,7
2,Biology,ChatGPT-4o,Essay Drafting,11
3,Biology,ChatGPT-4o,Exam Prep,16
4,Biology,ChatGPT-4o,Literature Review,13
5,Biology,Claude 3.5,Brainstorming,9
6,Biology,Claude 3.5,Code Debugging,4
7,Biology,Claude 3.5,Essay Drafting,13
8,Biology,Claude 3.5,Exam Prep,7
9,Biology,Claude 3.5,Literature Review,12
10,Biology,Gemini Pro,Brainstorming,15
11,Biology,Gemini Pro,Code Debugging,9
12,Biology,Gemini Pro,Essay Drafting,11
13,Biology,Gemini Pro,Exam Prep,19
14,Biology,Gemini Pro,Literature Review,4
15,Biology,GitHub Copilot,Brainstorming,9
16,Biology,GitHub Copilot,Code Debugging,9
17,Biology,GitHub Copilot,Essay Drafting,10
18,Biology,GitHub Copilot,Exam Prep,13
19,Biology,GitHub Copilot,Literature Review,9
20,Biology,Perplexity,Brainstorming,13
21,Biology,Perplexity,Code Debugging,12
22,Biology,Perplexity,Essay Drafting,11
23,Biology,Perplexity,Exam Prep,8
24,Biology,Perplexity,Literature Review,8
25,Business Administration,ChatGPT-4o,Brainstorming,10
26,Business Administration,ChatGPT-4o,Code Debugging,9
27,Business Administration,ChatGPT-4o,Essay Drafting,9
28,Business Administration,ChatGPT-4o,Exam Prep,11
29,Business Administration,ChatGPT-4o,Literature Review,8
30,Business Administration,Claude 3.5,Brainstorming,12
31,Business Administration,Claude 3.5,Code Debugging,8
32,Business Administration,Claude 3.5,Essay Drafting,10
33,Business Administration,Claude 3.5,Exam Prep,16
34,Business Administration,Claude 3.5,Literature Review,11
35,Business Administration,Gemini Pro,Brainstorming,6
36,Business Administration,Gemini Pro,Code Debugging,9
37,Business Administration,Gemini Pro,Essay Drafting,11
38,Business Administration,Gemini Pro,Exam Prep,5
39,Business Administration,Gemini Pro,Literature Review,4
40,Business Administration,GitHub Copilot,Brainstorming,10
41,Business Administration,GitHub Copilot,Code Debugging,10
42,Business Administration,GitHub Copilot,Essay Drafting,9
43,Business Administration,GitHub Copilot,Exam Prep,11
44,Business Administration,GitHub Copilot,Literature Review,15
45,Business Administration,Perplexity,Brainstorming,12
46,Business Administration,Perplexity,Code Debugging,9
47,Business Administration,Perplexity,Essay Drafting,16
48,Business Administration,Perplexity,Exam Prep,12
49,Business Administration,Perplexity,Literature Review,13
50,Data Science,ChatGPT-4o,Brainstorming,10
51,Data Science,ChatGPT-4o,Code Debugging,5
52,Data Science,ChatGPT-4o,Essay Drafting,9
53,Data Science,ChatGPT-4o,Exam Prep,13
54,Data Science,ChatGPT-4o,Literature Review,6
55,Data Science,Claude 3.5,Brainstorming,7
56,Data Science,Claude 3.5,Code Debugging,8
57,Data Science,Claude 3.5,Essay Drafting,8
58,Data Science,Claude 3.5,Exam Prep,12
59,Data Science,Claude 3.5,Literature Review,17
